PCM,Maths,Physics,Chemistry,Rank
99.1313196,98.9354229,99.3699567,97.3643699,1791
99.1251639,98.2557592,99.1515315,99.2804967,1801
99.1200944,98.6174982,99.3128654,98.3841123,1811
99.1168355,98.8311378,99.6691763,96.1007152,1821
99.1124903,99.3974638,97.9936486,97.7066629,1831
99.107783,97.5612494,99.5595814,99.645983,1841
99.1030757,98.4632431,99.0184884,99.1683531,1851
99.0990926,98.7406125,99.0184884,98.569659,1861
99.0947474,99.5404938,97.0987934,97.8427644,1871
99.0904021,98.1554572,99.3477829,99.1683531,1881
99.086419,99.0027737,98.1600799,98.6784893,1891
99.0817117,98.1554572,99.5919501,98.569659,1901
99.0773665,97.8364462,99.6931343,98.9132263,1911
99.0730213,98.8774867,99.4910209,96.3940727,1921
99.0675898,98.677969,99.2078582,98.2396,1931
99.0636067,99.0523815,98.1422389,98.3841123,1941
99.0596236,97.9910633,99.7186214,98.3841123,1951
99.0560025,99.204464,97.9936486,98.1972912,1961
99.0509331,95.9727121,99.8322943,99.8689959,1971
99.04695,98.5591999,98.663197,99.088833,1981
99.0426048,99.3073007,96.9453606,98.5110385,1991
99.0382596,98.4632431,99.1810967,98.569659,2001
99.0342765,98.2398268,99.0946951,99.088833,2011
99.0299313,99.111404,98.0955973,98.1516692,2021
99.0241377,98.9354229,98.9845904,97.3643699,2031
99.0187061,99.0523815,98.937694,96.3940727,2041
99.0139988,98.3864777,99.7303456,96.8383144,2051
99.0089294,97.9910633,99.8723092,97.0223319,2061
99.0053084,98.6174982,99.3128654,97.5687772,2071
99.000239,99.204464,97.6350439,98.1972912,2081
98.1503878,97.5753713,91.6692579,99.7828492,3963
98.1456805,95.216283,99.5261932,98.6384744,3973
98.1413353,96.8808615,98.9580838,97.3738002,3983
98.1373522,98.4632431,97.2257196,95.132202,3993
98.1322828,98.7406125,97.2257196,93.2632266,4003
98.1282996,97.1234692,97.9936486,98.569659,4013
98.1246786,98.68847,98.0359573,90.0294122,4023
98.1210576,98.2398268,97.7617152,95.3615867,4033
98.1177987,96.8678259,98.9845904,97.3643699,4043
98.1130914,97.4681894,98.3130031,97.2020165,4053
98.108022,98.9354229,96.5714635,92.6125387,4063
98.1029526,97.2353584,98.1422389,97.9944132,4073
